name,category,image,label,price,rating,description,stock,sold_stok,discount,created_at
Aries,zodiac,charms/zodiac/gold_aries.png,gold,"69,000.00",4.5,"[Detail Produk] 
Nama Produk : Sparklore Zodiac Charm Gold - Charm/Pendat Zodiac Gold Sparklore 
Bahan : Titanium Berlapis Emas 18k - Gold Plated (Waterproof, Anti karat & Anti Menghitam) 

Tingkatkan gaya Anda dengan pesona Charm Zodiac Sparklore yang elegan ini, dibuat dari titanium anti karat dan berlapis emas 18k. Aman untuk kulit sensitif, bebas alergi, dan nyaman digunakan sehari-hari tanpa risiko iritasi. Dirancang untuk bertahan lama, tahan air, anti karat, dan tetap berkilau indah, menjadikannya aksesori yang sempurna untuk dipakai sehari-hari atau dipadukan dengan gaya apa pun. Dapat digunakan atau dipakai untuk berbagai macam aksesoris. 

[Perawatan Produk] 
1. Penyimpanan : Simpan di tempat yang kering, dan lembut untuk menghindari goresan. 
2. Perawatan : Kurangi atau hindari terkena parfum, lotion dan zat kimia lainnya supaya menjaga ketahanan lapisan emas dari waktu ke waktu. 

Why Sparklore? 
- Menggunakan bahan 100% Stainless Steel & Titanium 
- Tidak berkarat dan tidak menghitam - Aman untuk kulit sensitif atau alergi 
- Tidak meninggalkan bekas hijau di tangan
- Cocok dipakai sehari-hari, termasuk saat terkena air 
- Warna tahan lama dan tidak mudah pudar",25,0,0,
Aquarius,zodiac,charms/zodiac/gold_aquarius.png,gold,"69,000.00",4.5,"[Detail Produk] 
Nama Produk : Sparklore Zodiac Charm Gold - Charm/Pendat Zodiac Gold Sparklore 
Bahan : Titanium Berlapis Emas 18k - Gold Plated (Waterproof, Anti karat & Anti Menghitam) 

Tingkatkan gaya Anda dengan pesona Charm Zodiac Sparklore yang elegan ini, dibuat dari titanium anti karat dan berlapis emas 18k. Aman untuk kulit sensitif, bebas alergi, dan nyaman digunakan sehari-hari tanpa risiko iritasi. Dirancang untuk bertahan lama, tahan air, anti karat, dan tetap berkilau indah, menjadikannya aksesori yang sempurna untuk dipakai sehari-hari atau dipadukan dengan gaya apa pun. Dapat digunakan atau dipakai untuk berbagai macam aksesoris. 

[Perawatan Produk] 
1. Penyimpanan : Simpan di tempat yang kering, dan lembut untuk menghindari goresan. 
2. Perawatan : Kurangi atau hindari terkena parfum, lotion dan zat kimia lainnya supaya menjaga ketahanan lapisan emas dari waktu ke waktu. 

Why Sparklore? 
- Menggunakan bahan 100% Stainless Steel & Titanium 
- Tidak berkarat dan tidak menghitam - Aman untuk kulit sensitif atau alergi 
- Tidak meninggalkan bekas hijau di tangan
- Cocok dipakai sehari-hari, termasuk saat terkena air 
- Warna tahan lama dan tidak mudah pudar",25,0,0,
Cancer,zodiac,charms/zodiac/gold_cancer.png,gold,"69,000.00",4.5,"[Detail Produk] 
Nama Produk : Sparklore Zodiac Charm Gold - Charm/Pendat Zodiac Gold Sparklore 
Bahan : Titanium Berlapis Emas 18k - Gold Plated (Waterproof, Anti karat & Anti Menghitam) 

Tingkatkan gaya Anda dengan pesona Charm Zodiac Sparklore yang elegan ini, dibuat dari titanium anti karat dan berlapis emas 18k. Aman untuk kulit sensitif, bebas alergi, dan nyaman digunakan sehari-hari tanpa risiko iritasi. Dirancang untuk bertahan lama, tahan air, anti karat, dan tetap berkilau indah, menjadikannya aksesori yang sempurna untuk dipakai sehari-hari atau dipadukan dengan gaya apa pun. Dapat digunakan atau dipakai untuk berbagai macam aksesoris. 

[Perawatan Produk] 
1. Penyimpanan : Simpan di tempat yang kering, dan lembut untuk menghindari goresan. 
2. Perawatan : Kurangi atau hindari terkena parfum, lotion dan zat kimia lainnya supaya menjaga ketahanan lapisan emas dari waktu ke waktu. 

Why Sparklore? 
- Menggunakan bahan 100% Stainless Steel & Titanium 
- Tidak berkarat dan tidak menghitam - Aman untuk kulit sensitif atau alergi 
- Tidak meninggalkan bekas hijau di tangan
- Cocok dipakai sehari-hari, termasuk saat terkena air 
- Warna tahan lama dan tidak mudah pudar",25,0,0,
Capricorn,zodiac,charms/zodiac/gold_capricorn.png,gold,"69,000.00",4.5,"[Detail Produk] 
Nama Produk : Sparklore Zodiac Charm Gold - Charm/Pendat Zodiac Gold Sparklore 
Bahan : Titanium Berlapis Emas 18k - Gold Plated (Waterproof, Anti karat & Anti Menghitam) 

Tingkatkan gaya Anda dengan pesona Charm Zodiac Sparklore yang elegan ini, dibuat dari titanium anti karat dan berlapis emas 18k. Aman untuk kulit sensitif, bebas alergi, dan nyaman digunakan sehari-hari tanpa risiko iritasi. Dirancang untuk bertahan lama, tahan air, anti karat, dan tetap berkilau indah, menjadikannya aksesori yang sempurna untuk dipakai sehari-hari atau dipadukan dengan gaya apa pun. Dapat digunakan atau dipakai untuk berbagai macam aksesoris. 

[Perawatan Produk] 
1. Penyimpanan : Simpan di tempat yang kering, dan lembut untuk menghindari goresan. 
2. Perawatan : Kurangi atau hindari terkena parfum, lotion dan zat kimia lainnya supaya menjaga ketahanan lapisan emas dari waktu ke waktu. 

Why Sparklore? 
- Menggunakan bahan 100% Stainless Steel & Titanium 
- Tidak berkarat dan tidak menghitam - Aman untuk kulit sensitif atau alergi 
- Tidak meninggalkan bekas hijau di tangan
- Cocok dipakai sehari-hari, termasuk saat terkena air 
- Warna tahan lama dan tidak mudah pudar",25,0,0,
Gemini,zodiac,charms/zodiac/gold_gemini.png,gold,"69,000.00",4.5,"[Detail Produk] 
Nama Produk : Sparklore Zodiac Charm Gold - Charm/Pendat Zodiac Gold Sparklore 
Bahan : Titanium Berlapis Emas 18k - Gold Plated (Waterproof, Anti karat & Anti Menghitam) 

Tingkatkan gaya Anda dengan pesona Charm Zodiac Sparklore yang elegan ini, dibuat dari titanium anti karat dan berlapis emas 18k. Aman untuk kulit sensitif, bebas alergi, dan nyaman digunakan sehari-hari tanpa risiko iritasi. Dirancang untuk bertahan lama, tahan air, anti karat, dan tetap berkilau indah, menjadikannya aksesori yang sempurna untuk dipakai sehari-hari atau dipadukan dengan gaya apa pun. Dapat digunakan atau dipakai untuk berbagai macam aksesoris. 

[Perawatan Produk] 
1. Penyimpanan : Simpan di tempat yang kering, dan lembut untuk menghindari goresan. 
2. Perawatan : Kurangi atau hindari terkena parfum, lotion dan zat kimia lainnya supaya menjaga ketahanan lapisan emas dari waktu ke waktu. 

Why Sparklore? 
- Menggunakan bahan 100% Stainless Steel & Titanium 
- Tidak berkarat dan tidak menghitam - Aman untuk kulit sensitif atau alergi 
- Tidak meninggalkan bekas hijau di tangan
- Cocok dipakai sehari-hari, termasuk saat terkena air 
- Warna tahan lama dan tidak mudah pudar",25,0,0,
Leo,zodiac,charms/zodiac/gold_leo.png,gold,"69,000.00",4.5,"[Detail Produk] 
Nama Produk : Sparklore Zodiac Charm Gold - Charm/Pendat Zodiac Gold Sparklore 
Bahan : Titanium Berlapis Emas 18k - Gold Plated (Waterproof, Anti karat & Anti Menghitam) 

Tingkatkan gaya Anda dengan pesona Charm Zodiac Sparklore yang elegan ini, dibuat dari titanium anti karat dan berlapis emas 18k. Aman untuk kulit sensitif, bebas alergi, dan nyaman digunakan sehari-hari tanpa risiko iritasi. Dirancang untuk bertahan lama, tahan air, anti karat, dan tetap berkilau indah, menjadikannya aksesori yang sempurna untuk dipakai sehari-hari atau dipadukan dengan gaya apa pun. Dapat digunakan atau dipakai untuk berbagai macam aksesoris. 

[Perawatan Produk] 
1. Penyimpanan : Simpan di tempat yang kering, dan lembut untuk menghindari goresan. 
2. Perawatan : Kurangi atau hindari terkena parfum, lotion dan zat kimia lainnya supaya menjaga ketahanan lapisan emas dari waktu ke waktu. 

Why Sparklore? 
- Menggunakan bahan 100% Stainless Steel & Titanium 
- Tidak berkarat dan tidak menghitam - Aman untuk kulit sensitif atau alergi 
- Tidak meninggalkan bekas hijau di tangan
- Cocok dipakai sehari-hari, termasuk saat terkena air 
- Warna tahan lama dan tidak mudah pudar",25,0,0,
Libra,zodiac,charms/zodiac/gold_libra.png,gold,"69,000.00",4.5,"[Detail Produk] 
Nama Produk : Sparklore Zodiac Charm Gold - Charm/Pendat Zodiac Gold Sparklore 
Bahan : Titanium Berlapis Emas 18k - Gold Plated (Waterproof, Anti karat & Anti Menghitam) 

Tingkatkan gaya Anda dengan pesona Charm Zodiac Sparklore yang elegan ini, dibuat dari titanium anti karat dan berlapis emas 18k. Aman untuk kulit sensitif, bebas alergi, dan nyaman digunakan sehari-hari tanpa risiko iritasi. Dirancang untuk bertahan lama, tahan air, anti karat, dan tetap berkilau indah, menjadikannya aksesori yang sempurna untuk dipakai sehari-hari atau dipadukan dengan gaya apa pun. Dapat digunakan atau dipakai untuk berbagai macam aksesoris. 

[Perawatan Produk] 
1. Penyimpanan : Simpan di tempat yang kering, dan lembut untuk menghindari goresan. 
2. Perawatan : Kurangi atau hindari terkena parfum, lotion dan zat kimia lainnya supaya menjaga ketahanan lapisan emas dari waktu ke waktu. 

Why Sparklore? 
- Menggunakan bahan 100% Stainless Steel & Titanium 
- Tidak berkarat dan tidak menghitam - Aman untuk kulit sensitif atau alergi 
- Tidak meninggalkan bekas hijau di tangan
- Cocok dipakai sehari-hari, termasuk saat terkena air 
- Warna tahan lama dan tidak mudah pudar",25,0,0,
Pisces,zodiac,charms/zodiac/gold_pisces.png,gold,"69,000.00",4.5,"[Detail Produk] 
Nama Produk : Sparklore Zodiac Charm Gold - Charm/Pendat Zodiac Gold Sparklore 
Bahan : Titanium Berlapis Emas 18k - Gold Plated (Waterproof, Anti karat & Anti Menghitam) 

Tingkatkan gaya Anda dengan pesona Charm Zodiac Sparklore yang elegan ini, dibuat dari titanium anti karat dan berlapis emas 18k. Aman untuk kulit sensitif, bebas alergi, dan nyaman digunakan sehari-hari tanpa risiko iritasi. Dirancang untuk bertahan lama, tahan air, anti karat, dan tetap berkilau indah, menjadikannya aksesori yang sempurna untuk dipakai sehari-hari atau dipadukan dengan gaya apa pun. Dapat digunakan atau dipakai untuk berbagai macam aksesoris. 

[Perawatan Produk] 
1. Penyimpanan : Simpan di tempat yang kering, dan lembut untuk menghindari goresan. 
2. Perawatan : Kurangi atau hindari terkena parfum, lotion dan zat kimia lainnya supaya menjaga ketahanan lapisan emas dari waktu ke waktu. 

Why Sparklore? 
- Menggunakan bahan 100% Stainless Steel & Titanium 
- Tidak berkarat dan tidak menghitam - Aman untuk kulit sensitif atau alergi 
- Tidak meninggalkan bekas hijau di tangan
- Cocok dipakai sehari-hari, termasuk saat terkena air 
- Warna tahan lama dan tidak mudah pudar",25,0,0,
Sagittarius,zodiac,charms/zodiac/gold_sagittarius.png,gold,"69,000.00",4.5,"[Detail Produk] 
Nama Produk : Sparklore Zodiac Charm Gold - Charm/Pendat Zodiac Gold Sparklore 
Bahan : Titanium Berlapis Emas 18k - Gold Plated (Waterproof, Anti karat & Anti Menghitam) 

Tingkatkan gaya Anda dengan pesona Charm Zodiac Sparklore yang elegan ini, dibuat dari titanium anti karat dan berlapis emas 18k. Aman untuk kulit sensitif, bebas alergi, dan nyaman digunakan sehari-hari tanpa risiko iritasi. Dirancang untuk bertahan lama, tahan air, anti karat, dan tetap berkilau indah, menjadikannya aksesori yang sempurna untuk dipakai sehari-hari atau dipadukan dengan gaya apa pun. Dapat digunakan atau dipakai untuk berbagai macam aksesoris. 

[Perawatan Produk] 
1. Penyimpanan : Simpan di tempat yang kering, dan lembut untuk menghindari goresan. 
2. Perawatan : Kurangi atau hindari terkena parfum, lotion dan zat kimia lainnya supaya menjaga ketahanan lapisan emas dari waktu ke waktu. 

Why Sparklore? 
- Menggunakan bahan 100% Stainless Steel & Titanium 
- Tidak berkarat dan tidak menghitam - Aman untuk kulit sensitif atau alergi 
- Tidak meninggalkan bekas hijau di tangan
- Cocok dipakai sehari-hari, termasuk saat terkena air 
- Warna tahan lama dan tidak mudah pudar",25,0,0,
Scorpio,zodiac,charms/zodiac/gold_scorpio.png,gold,"69,000.00",4.5,"[Detail Produk] 
Nama Produk : Sparklore Zodiac Charm Gold - Charm/Pendat Zodiac Gold Sparklore 
Bahan : Titanium Berlapis Emas 18k - Gold Plated (Waterproof, Anti karat & Anti Menghitam) 

Tingkatkan gaya Anda dengan pesona Charm Zodiac Sparklore yang elegan ini, dibuat dari titanium anti karat dan berlapis emas 18k. Aman untuk kulit sensitif, bebas alergi, dan nyaman digunakan sehari-hari tanpa risiko iritasi. Dirancang untuk bertahan lama, tahan air, anti karat, dan tetap berkilau indah, menjadikannya aksesori yang sempurna untuk dipakai sehari-hari atau dipadukan dengan gaya apa pun. Dapat digunakan atau dipakai untuk berbagai macam aksesoris. 

[Perawatan Produk] 
1. Penyimpanan : Simpan di tempat yang kering, dan lembut untuk menghindari goresan. 
2. Perawatan : Kurangi atau hindari terkena parfum, lotion dan zat kimia lainnya supaya menjaga ketahanan lapisan emas dari waktu ke waktu. 

Why Sparklore? 
- Menggunakan bahan 100% Stainless Steel & Titanium 
- Tidak berkarat dan tidak menghitam - Aman untuk kulit sensitif atau alergi 
- Tidak meninggalkan bekas hijau di tangan
- Cocok dipakai sehari-hari, termasuk saat terkena air 
- Warna tahan lama dan tidak mudah pudar",25,0,0,
Taurus,zodiac,charms/zodiac/gold_taurus.png,gold,"69,000.00",4.5,"[Detail Produk] 
Nama Produk : Sparklore Zodiac Charm Gold - Charm/Pendat Zodiac Gold Sparklore 
Bahan : Titanium Berlapis Emas 18k - Gold Plated (Waterproof, Anti karat & Anti Menghitam) 

Tingkatkan gaya Anda dengan pesona Charm Zodiac Sparklore yang elegan ini, dibuat dari titanium anti karat dan berlapis emas 18k. Aman untuk kulit sensitif, bebas alergi, dan nyaman digunakan sehari-hari tanpa risiko iritasi. Dirancang untuk bertahan lama, tahan air, anti karat, dan tetap berkilau indah, menjadikannya aksesori yang sempurna untuk dipakai sehari-hari atau dipadukan dengan gaya apa pun. Dapat digunakan atau dipakai untuk berbagai macam aksesoris. 

[Perawatan Produk] 
1. Penyimpanan : Simpan di tempat yang kering, dan lembut untuk menghindari goresan. 
2. Perawatan : Kurangi atau hindari terkena parfum, lotion dan zat kimia lainnya supaya menjaga ketahanan lapisan emas dari waktu ke waktu. 

Why Sparklore? 
- Menggunakan bahan 100% Stainless Steel & Titanium 
- Tidak berkarat dan tidak menghitam - Aman untuk kulit sensitif atau alergi 
- Tidak meninggalkan bekas hijau di tangan
- Cocok dipakai sehari-hari, termasuk saat terkena air 
- Warna tahan lama dan tidak mudah pudar",25,0,0,
Virgo,zodiac,charms/zodiac/gold_virgo.png,gold,"69,000.00",4.5,"[Detail Produk] 
Nama Produk : Sparklore Zodiac Charm Gold - Charm/Pendat Zodiac Gold Sparklore 
Bahan : Titanium Berlapis Emas 18k - Gold Plated (Waterproof, Anti karat & Anti Menghitam) 

Tingkatkan gaya Anda dengan pesona Charm Zodiac Sparklore yang elegan ini, dibuat dari titanium anti karat dan berlapis emas 18k. Aman untuk kulit sensitif, bebas alergi, dan nyaman digunakan sehari-hari tanpa risiko iritasi. Dirancang untuk bertahan lama, tahan air, anti karat, dan tetap berkilau indah, menjadikannya aksesori yang sempurna untuk dipakai sehari-hari atau dipadukan dengan gaya apa pun. Dapat digunakan atau dipakai untuk berbagai macam aksesoris. 

[Perawatan Produk] 
1. Penyimpanan : Simpan di tempat yang kering, dan lembut untuk menghindari goresan. 
2. Perawatan : Kurangi atau hindari terkena parfum, lotion dan zat kimia lainnya supaya menjaga ketahanan lapisan emas dari waktu ke waktu. 

Why Sparklore? 
- Menggunakan bahan 100% Stainless Steel & Titanium 
- Tidak berkarat dan tidak menghitam - Aman untuk kulit sensitif atau alergi 
- Tidak meninggalkan bekas hijau di tangan
- Cocok dipakai sehari-hari, termasuk saat terkena air 
- Warna tahan lama dan tidak mudah pudar",25,0,0,
